Index;Date;Price Close
.SPX;02/10/2018;2923,43
.SPX;03/10/2018;2925,51
.SPX;04/10/2018;2901,61
.SPX;05/10/2018;2885,57
.SPX;08/10/2018;2884,43
.SPX;09/10/2018;2880,34
.SPX;10/10/2018;2785,68
.SPX;11/10/2018;2728,37
.SPX;12/10/2018;2767,13
.SPX;15/10/2018;2750,79
.SPX;16/10/2018;2809,92
.SPX;17/10/2018;2809,21
.SPX;18/10/2018;2768,78
.SPX;19/10/2018;2767,78
.SPX;22/10/2018;2755,88
.SPX;23/10/2018;2740,69
.SPX;24/10/2018;2656,1
.SPX;25/10/2018;2705,57
.SPX;26/10/2018;2658,69
.SPX;29/10/2018;2641,25
.SPX;30/10/2018;2641,25
.FTSE;02/10/2018;9699,775497
.FTSE;03/10/2018;9716,762407
.FTSE;04/10/2018;9657,159223
.FTSE;05/10/2018;9603,374974
.FTSE;08/10/2018;9466,965945
.FTSE;09/10/2018;9511,630658
.FTSE;10/10/2018;9428,092675
.FTSE;11/10/2018;9272,22803
.FTSE;12/10/2018;9202,359812
.FTSE;15/10/2018;9243,379007
.FTSE;16/10/2018;9307,053395
.FTSE;17/10/2018;9250,721217
.FTSE;18/10/2018;9146,987229999999
.FTSE;19/10/2018;9214,099933
.FTSE;22/10/2018;9128,118722
.FTSE;23/10/2018;9029,222381
.FTSE;24/10/2018;8968,289541
.FTSE;25/10/2018;8975,702899
.FTSE;26/10/2018;8904,177787
.FTSE;29/10/2018;8987,362497
.FTSE;30/10/2018;8987,362497
.SSMI;02/10/2018;9236,958731
.SSMI;03/10/2018;9247,339246
.SSMI;04/10/2018;9174,586527
.SSMI;05/10/2018;9118,676886
.SSMI;08/10/2018;9031,879093000001
.SSMI;09/10/2018;9039,134818999999
.SSMI;10/10/2018;8983,614506999998
.SSMI;11/10/2018;8732,629132
.SSMI;12/10/2018;8736,386563
.SSMI;15/10/2018;8768,909607
.SSMI;16/10/2018;8878,427216
.SSMI;17/10/2018;8792,554259999999
.SSMI;18/10/2018;8818,864892
.SSMI;19/10/2018;8905,038643
.SSMI;22/10/2018;8902,9524
.SSMI;23/10/2018;8813,863476
.SSMI;24/10/2018;8743,846462000001
.SSMI;25/10/2018;8710,755378
.SSMI;26/10/2018;8693,619583
.SSMI;29/10/2018;8745,626997
.SSMI;30/10/2018;8745,626997
.N225;02/10/2018;213,5370403
.N225;03/10/2018;210,5209116
.N225;04/10/2018;210,49710269999997
.N225;05/10/2018;209,1795954
.N225;08/10/2018;209,1795954
.N225;09/10/2018;207,80405530000002
.N225;10/10/2018;209,3706244
.N225;11/10/2018;201,4163695
.N225;12/10/2018;202,28772619999998
.N225;15/10/2018;199,277917
.N225;16/10/2018;200,884098
.N225;17/10/2018;202,7798295
.N225;18/10/2018;201,9803887
.N225;19/10/2018;200,2139684
.N225;22/10/2018;200,4859929
.N225;23/10/2018;195,77319219999998
.N225;24/10/2018;196,8033853
.N225;25/10/2018;189,22357649999998
.N225;26/10/2018;189,3341675
.N225;29/10/2018;188,23246709999998
.N225;30/10/2018;190,96911709999998
.NDX;02/10/2018;7628,278
.NDX;03/10/2018;7637,4259999999995
.NDX;04/10/2018;7490,004
.NDX;05/10/2018;7399,007
.NDX;08/10/2018;7352,823
.NDX;09/10/2018;7371,615
.NDX;10/10/2018;7044,496
.NDX;11/10/2018;6964,026
.NDX;12/10/2018;7157,209
.NDX;15/10/2018;7068,670999999999
.NDX;16/10/2018;7276,4259999999995
.NDX;17/10/2018;7278,630999999999
.NDX;18/10/2018;7116,088000000001
.NDX;19/10/2018;7107,233
.NDX;22/10/2018;7141,213000000001
.NDX;23/10/2018;7118,674
.NDX;24/10/2018;6789,154
.NDX;25/10/2018;7016,389
.NDX;26/10/2018;6852,404
.NDX;29/10/2018;6713,901999999999
.NDX;30/10/2018;6713,901999999999
.IXIC;02/10/2018;7999,547
.IXIC;03/10/2018;8025,085
.IXIC;04/10/2018;7879,51
.IXIC;05/10/2018;7788,446999999999
.IXIC;08/10/2018;7735,9490000000005
.IXIC;09/10/2018;7738,016
.IXIC;10/10/2018;7422,05
.IXIC;11/10/2018;7329,061
.IXIC;12/10/2018;7496,894
.IXIC;15/10/2018;7430,744000000001
.IXIC;16/10/2018;7645,4890000000005
.IXIC;17/10/2018;7642,703
.IXIC;18/10/2018;7485,139
.IXIC;19/10/2018;7449,026
.IXIC;22/10/2018;7468,629
.IXIC;23/10/2018;7437,539000000001
.IXIC;24/10/2018;7108,401
.IXIC;25/10/2018;7318,335999999999
.IXIC;26/10/2018;7167,2119999999995
.IXIC;29/10/2018;7050,2919999999995
.IXIC;30/10/2018;7050,2919999999995
